PUBID,SQFT,LnAreaT,ADJWT,SiteEUI,SourceEUI,WKHRS,NWKER,PCNUM,PcDensT,Bank50,HDD,HEATP,CDD,COOLP,WiFridge,OpFridge,ClFridge,ReFridge,VnFridge,NFLOORS
974,5000,8.517,2996.93,57.8004,190.9261,100,20,12,2.4,0,1789,100,1580,100,0,0,0,2,0,2
978,225000,12.206,66.79,138.9011111,350.2716178,60,750,150,0.667,0,5622,100,683,100,0,0,0,0,0,14
984,420000,12.206,39.55,98.0080119,264.5928174,60,800,650,1.548,0,3089,100,1578,100,0,0,0,0,0,40
994,265000,12.206,42.03,78.65381132,262.7037298,66,600,600,2.264,0,6544,100,714,100,1,1,5,0,2,11
1018,700000,12.206,40.28,47.19951,157.3017497,65,860,802,1.146,0,2222,55,2701,55,0,0,0,0,2,20
1034,5000,8.517,2544.74,70.2436,234.613624,54,9,15,3,1,662,100,3347,100,0,0,0,0,0,1
1068,65000,11.082,80.53,56.58033846,141.6603,50,41,10,0.154,0,4843,100,1375,100,0,0,0,0,0,3
1075,400000,12.206,30.24,82.245585,202.4664828,168,1645,1700,4.25,0,6343,100,777,95,3,3,4,0,9,2
1102,7400,8.909,364.88,27.44932432,46.09218486,39,1,1,0.135,0,6044,15,588,28,0,0,0,1,0,2
1106,31000,10.342,360.63,59.56722581,121.2830393,50,11,10,0.323,0,5174,100,753,30,2,0,0,0,2,1
1109,15250,9.632,679.47,38.36688525,92.2267922,50,9,5,0.328,0,6290,33,641,10,0,0,0,1,1,1
1117,12750,9.453,869.22,120.2942745,201.0489809,60,35,25,1.961,0,5388,100,1137,100,0,0,0,3,2,1
1140,265000,12.206,25.53,127.3448038,381.2116076,168,525,400,1.509,0,4338,100,1665,100,2,2,1,0,6,4
1151,99000,11.503,221.72,108.9374444,285.8840847,65,220,220,2.222,0,6487,100,618,100,0,0,0,2,4,3
1155,18500,9.826,113.77,160.2032432,460.821081,168,100,50,2.703,0,1469,100,645,100,0,0,0,0,0,4
1158,260000,12.206,5.27,103.3372885,228.266189,40,630,600,2.308,0,6362,100,623,100,2,1,4,10,6,9
1170,40000,10.597,364.5,87.8448,188.7436661,45,75,60,1.5,0,4774,100,1047,100,0,0,0,0,4,4
1172,99000,11.503,80.53,48.06584848,148.0826612,45,90,50,0.505,0,6141,45,819,45,0,0,0,2,0,7
1175,85000,11.35,190.78,97.70809412,264.7870631,45,300,250,2.941,0,2686,100,2205,100,0,0,0,0,0,5
1186,20000,9.903,780.38,59.37385,111.0150039,40,30,20,1,0,6101,66,563,66,0,0,0,1,0,2
1204,33000,10.404,180.19,15.11545455,31.99563052,50,75,100,3.03,0,1257,100,2257,100,0,0,0,6,1,2
1205,35000,10.463,364.88,59.84468571,127.6415956,40,25,15,0.429,1,6255,100,802,100,0,0,0,0,0,3
1230,20000,9.903,864.37,99.51155,239.1527385,168,40,35,1.75,0,6355,100,528,100,0,0,0,1,0,2
1239,490000,12.206,11.26,57.41332245,75.59725208,40,453,212,0.433,0,5888,20,819,10,5,0,6,50,4,6
1254,30000,10.309,713.87,56.9117,138.532212,45,35,45,1.5,1,6196,70,744,70,0,0,1,2,1,3
1256,106000,11.571,77.89,155.4183491,369.296937,60,170,150,1.415,0,6001,100,896,90,0,0,0,0,4,10
1264,350000,12.206,89.29,128.1125571,393.0149939,66,700,600,1.714,0,773,90,4757,95,0,0,0,10,15,20
1265,17500,9.77,406.42,71.0944,205.079296,45,40,20,1.143,0,6622,100,785,90,0,0,0,1,0,5
1285,116000,11.661,77.89,113.264569,326.3325584,50,250,200,1.724,0,6345,100,547,100,0,0,0,0,0,3
