PUBID,SQFT,ADJWT,Site,Source,WKHRS,NWKER,PCNUM,WiF,Reg,RegDens,RegDensT,OpF,ClF,HDD,CDD,HEATP,COOLP
646,12000,2996.93,13.62725,45.515015,80,1,1,0,1,0.083333333,0.083333333,0,0,2029,2214,100,100
654,5000,776.54,361.396,1008.763541,77,12,2,0,7,1.4,0.71,0,2,9004,533,100,100
665,128000,83.77,94.74055469,262.5766868,95,30,10,0,20,0.15625,0.15625,0,5,6485,687,100,100
672,13750,780.38,94.57265455,123.8749328,46,9,7,0,0,0,0,0,0,7396,515,100,25
721,8000,2463.5,18.157,60.64438,71,3,0,0,0,0,0,0,0,6383,592,100,100
818,124000,101.62,73.41126613,237.5027404,112,120,3,0,20,0.161290323,0.161290323,0,11,1978,2138,100,100
915,40000,1964.99,36.95745,104.8680225,84,5,5,0,2,0.05,0.05,0,2,4352,746,100,100
955,10000,734.43,21.3626,55.5353458,48,3,1,0,1,0.1,0.1,0,0,3785,1686,100,100
987,11750,950.84,17.54348936,33.00255328,40,1,3,0,8,0.680851064,0.680851064,0,0,2436,1762,65,100
1043,21750,864.37,104.4862989,272.6486914,76,18,13,0,6,0.275862069,0.275862069,0,3,5334,594,100,95
1069,134000,80.51,119.8209403,345.6992222,80,67,18,4,8,0.059701493,0.059701493,4,6,4869,1104,100,100
1072,7500,2314.83,28.50693333,56.1584756,44,5,1,0,1,0.133333333,0.133333333,0,0,2951,1632,30,0
1082,6500,2226.17,75.05246154,250.6752215,54,5,5,0,2,0.307692308,0.307692308,0,0,6721,856,100,100
1142,8500,2739.65,32.95070588,55.78883529,60,4,2,0,0,0,0,0,0,8991,399,45,0
1198,92000,199.37,75.25288043,205.0548576,105,50,10,0,18,0.195652174,0.195652174,0,7,7378,659,100,75
1282,126000,107.34,67.36085714,216.251307,95,30,10,0,20,0.158730159,0.158730159,0,9,2104,1881,100,100
1396,12000,734.43,36.30225,95.44160892,54,5,1,0,1,0.083333333,0.083333333,0,0,2972,1927,100,80
1416,260000,39.55,74.90738462,219.6458056,72,200,150,0,4,0.015384615,0.015384615,0,0,3827,1395,100,33
1417,44000,381.35,7.463045455,24.92657182,60,6,1,0,1,0.022727273,0.022727273,0,0,1445,3006,40,40
1472,11250,2447.55,129.1792,216.8418809,72,9,5,0,1,0.088888889,0.088888889,0,0,9625,434,100,30
1525,7100,2544.74,63.55830986,161.8064592,60,4,1,0,4,0.563380282,0.563380282,0,0,2848,2330,100,50
1567,47500,366.79,79.74711579,257.775009,105,50,20,0,12,0.252631579,0.252631579,0,0,4623,1585,100,100
1643,9600,808.04,37.9271875,60.70042917,40,3,0,0,1,0.104166667,0.104166667,0,0,5028,1092,25,0
1669,60000,406.42,54.0678,130.0659503,72,10,16,0,0,0,0,0,0,5363,863,75,75
1679,18000,864.37,29.58027778,80.94928839,71,13,4,0,5,0.277777778,0.277777778,0,0,7555,656,50,50
1753,20000,679.47,27.98365,47.0465869,60,3,0,0,1,0.05,0.05,0,0,5986,869,90,75
1774,15000,864.37,96.0002,213.7683711,112,15,3,1,9,0.6,0.6,1,1,6453,717,100,100
1825,15000,864.37,73.21786667,140.1184098,60,8,7,0,1,0.066666667,0.066666667,0,0,9590,562,75,25
1871,13000,869.22,158.9818462,434.490428,82,20,5,0,7,0.538461538,0.538461538,0,0,4003,876,100,100
1878,18000,510.58,74.10605556,186.2713803,84,8,0,2,1,0.055555556,0.055555556,7,2,5867,619,100,50
1908,15000,734.43,7.991666667,18.96949553,40,4,1,0,1,0.066666667,0.066666667,0,1,2955,2201,50,50
1984,20000,869.22,17.26015,29.03152075,55,4,1,0,0,0,0,0,0,4710,1237,50,50
2009,15000,807.37,105.8994,353.703996,112,15,3,1,9,0.6,0.6,1,1,944,3324,100,100
2051,12500,3913.45,11.17472,37.3235648,50,4,0,0,1,0.08,0.08,0,0,4069,1368,5,0
2058,200001,70.71,148.2223389,460.8911439,168,133,4,6,25,0.124999375,0.124999375,30,2,1332,3423,100,100
2093,15000,679.47,55.23413333,184.4820053,75,5,2,0,2,0.133333333,0.133333333,0,0,5191,683,100,80
2150,230000,70.78,118.1277304,345.0961705,168,133,3,3,40,0.173913043,0.173913043,4,4,2121,2892,100,100
2251,10000,2314.83,1.996,6.66664,49,1,0,0,0,0,0,0,0,2832,1637,0,0
2270,126000,91.01,62.71342857,207.2826452,95,30,10,0,20,0.158730159,0.158730159,0,17,1008,4757,100,100
2272,330000,99.27,95.34158182,215.3224498,92,200,60,1,18,0.054545455,0.054545455,2,5,4976,1014,80,80
2371,100000,80.53,87.28683,268.074477,106,75,24,0,19,0.19,0.19,0,0,7511,529,100,100
2425,21500,97.69,37.42572093,124.0232768,85,7,1,0,5,0.23255814,0.23255814,0,4,2485,1757,75,75
2454,11000,808.04,123.8438182,347.8520875,80,4,3,0,8,0.727272727,0.71,9,1,4770,1164,100,100
2472,68000,317.7,75.94176471,219.300232,105,67,3,0,20,0.294117647,0.294117647,1,4,5672,786,100,100
2500,7500,807.37,83.31053333,278.2571813,84,15,7,0,0,0,0,0,0,1688,3156,100,100
2564,7000,377.5,27.68928571,92.48221429,70,4,1,0,1,0.142857143,0.142857143,0,0,1601,2106,100,100
