PUBID,ComID,SQFT,BEDS,BEDS08,FTE,MRI,Source,HDD,CDD,EUIpre,EUI,WkrDen,BedDen,BedDen08,MRIDen,ADJWT
346,U,74656,25,25,114,1,33004789.07,1840.363636,2527.636364,472.229815,442.0915809,1.527003858,0.334869267,0.334869267,0.013394771,20.88235294
347,M,369105,212,212,1111,1,208444805.9,5585,793,579.6225625,564.7303774,3.009983609,0.574362309,0.574362309,0.002709256,38.82352941
365,AS,197465,161,161,468,1,115828996.9,1466,2708,586.5798844,586.5798844,2.37004026,0.815334363,0.815334363,0.005064189,20.88235294
366,AR,211956,130,130,528,1,123884941,1177,2830,584.4842371,584.4842371,2.491083055,0.613334843,0.613334843,0.00471796,2.222222222
368,AR,340385,235,235,1122.53,2,234250410.7,507,2904,703.5806916,688.1925194,3.297824522,0.6903947,0.6903947,0.0058757,2.222222222
370,AR,224850,219,186,700,0,70114513.84,445,3375,311.8279468,311.8279468,3.113186569,0.973982655,0.827218145,0,2.222222222
371,S,990000,350,220,1850,1,191929098.8,6131,774,205.4895948,193.8677766,1.868686869,0.353535354,0.222222222,0.001010101,21.83333333
374,DA,181478,98,98,435,1,83274802.9,1740,2876,458.8699617,458.8699617,2.396984758,0.540010359,0.540010359,0.00551031,20.88235294
375,A,371250,250,250,859.05,1,180002981.4,6563,816,489.2742664,484.8565156,2.313939394,0.673400673,0.673400673,0.002693603,30.58333333
376,AR,248512,209,178,803,1,137871113.1,6765,291,588.8559632,554.786542,3.231232295,0.841005666,0.716263199,0.004023951,38.82352941
377,AR,226328,229,194,513,1,144820847.3,445,3375,653.4477718,639.8715461,2.266621894,1.011805875,0.857163055,0.004418366,2.222222222
378,AR,144676,147,61,372,1,70777217.3,3912,1176,496.2838847,489.2118755,2.571262684,1.01606348,0.421631784,0.006911996,2.222222222
379,AR,1096721,353,353,2036,2,453350473.1,1467,2189,422.7424612,413.3690092,1.856442979,0.321868552,0.321868552,0.001823618,2.222222222
381,AR,450000,359,290,1200,1,217449056.8,1409,672,515.3951006,483.2201262,2.666666667,0.797777778,0.644444444,0.002222222,21.83333333
384,AR,871200,586,526,1701,2,334975652.8,1251,2947,397.7337612,384.4991423,1.952479339,0.672635445,0.603764922,0.002295684,3
386,AU,213093,157,136,535,1,87287605.56,6131,774,423.6833474,409.622116,2.510640894,0.736767515,0.638218994,0.004692787,21.83333333
