PUBID8,SQFT,ADJWT,PBA,PBAPLUS,WKHRS,NWKER,PCNUM,NoWFridge,RWH,NonRWH,DistCtr,nRWH,HDD,HEATP,CDD,COOLP,SiteEUI,SourceEUI,PropSiteEUI,SmallPropane,WFDens
879,20000,568.7,5,9,40,15,13,0,0,0,1,1,4205,50,1435,50,32.49035,58.186419,0,1,0
899,46000,945.45,5,9,60,75,37,0,0,0,1,1,2248,35,1353,35,36.16428261,82.00238243,0,1,0
913,9700,2447.55,5,9,46,12,23,0,0,0,1,1,6985,100,748,40,25.30051546,84.50372165,0,1,0
943,100000,221.72,5,9,56,12,2,0,0,0,1,1,8377,100,321,0,16.5126,29.23464895,0,1,0
954,120000,221.64,5,9,45,4,1,0,0,0,1,1,5895,100,672,50,41.25665,61.13198766,0,1,0
973,88000,80.08,5,10,168,35,3,0,0,1,0,1,5906,100,923,10,46.36027273,75.06356122,0,1,0
995,700000,171.88,5,9,168,25,30,0,0,0,1,1,6059,100,699,100,79.84347143,205.5291739,0,1,0
998,44000,369.79,5,9,60,35,33,0,0,0,1,1,3541,30,1234,15,27.62472727,70.93611293,0,1,0
1000,500001,70.43,11,20,132,36,16,4,1,0,0,0,6216,3,823,3,41.57840684,120.1989716,0,1,0.007999984
1005,152000,199.06,5,10,100,20,6,2,0,1,0,1,7055,100,847,10,87.05004605,167.669588,0,1,0.013157895
1016,16500,364.2,5,10,80,16,6,0,0,1,0,1,366,0,4345,100,39.11787879,130.6537152,0,1,0
1024,12000,3065.81,5,9,55,3,2,0,0,0,1,1,749,0,5089,15,10.43016667,34.83675667,0,1,0
1084,114000,155.65,5,9,70,80,50,0,0,0,1,1,853,10,4389,10,8.756298246,29.24603614,0,1,0
1124,5000,807.37,5,9,70,5,6,0,0,0,1,1,279,0,4371,30,12.864,42.96576,0,1,0
1132,100000,206.74,5,9,60,80,70,0,0,0,1,1,5035,25,1158,25,71.91129,126.3791148,0,1,0
1148,245000,25.53,5,9,40,54,70,0,0,0,1,1,7614,100,673,25,22.37447755,37.45156855,0,1,0
1212,174000,1005.73,5,10,58,1,,0,0,1,0,1,4910,100,828,0,215.5296609,414.6810159,0.051775862,1,0
1215,13250,781.6,5,10,105,3,4,0,0,1,0,1,5371,100,634,5,90.50911956,117.4504221,0.161119556,1,0
1244,325000,170.5,5,9,147,50,40,4,0,0,1,1,9606,75,593,15,84.48052615,245.2599626,0.02772,1,0.012307692
1257,90000,190.78,5,10,60,20,40,0,0,1,0,1,2297,100,2478,10,12.77857778,36.31058384,0,1,0
1261,9200,2724.37,5,9,45,2,5,0,0,0,1,1,7805,100,703,35,43.50478261,91.78012598,0,1,0
1263,19000,864.37,5,10,120,5,4,1,0,1,0,1,7379,20,541,20,38.76642105,84.63408658,0,1,0.052631579
1276,47500,478.76,5,9,40,5,4,0,0,0,1,1,1352,0,1327,10,1.815536842,6.063893053,0,1,0
1296,122000,155.65,5,9,56,30,40,0,0,0,1,1,857,8,4787,8,11.3227377,36.95070648,0.372204918,1,0
1300,42500,201.75,5,9,70,25,22,0,0,0,1,1,4871,100,1425,20,77.41421176,140.6541162,0,1,0
1331,190000,85.58,5,9,120,145,100,0,0,0,1,1,255,0,4172,30,39.87350526,131.4767302,0,1,0
1363,10000,734.43,5,9,40,5,3,0,0,0,1,1,3304,10,1899,0,11.7492,39.242328,0,1,0
1366,138000,147.89,11,20,156,65,30,3,1,0,0,0,796,10,4197,100,103.151087,344.5246304,0,1,0.02173913
1407,52000,242.54,5,9,42,28,31,0,0,0,1,1,2104,38,1253,38,12.71286538,34.21851731,0,1,0
1446,65000,734.43,5,10,100,15,15,0,0,1,0,1,3071,100,2114,10,68.35381538,112.6689989,0,1,0
1492,15250,2724.37,5,10,60,3,2,0,0,1,0,1,6277,1,444,1,10.00104918,33.40350426,0,1,0
1495,91000,80.53,5,9,50,75,30,0,0,0,1,1,5576,100,911,10,31.94493407,62.84623445,0,1,0
1505,5000,2724.37,5,10,60,1,3,0,0,1,0,1,4464,66,1519,33,44.4164,87.877487,0,1,0
1514,59000,652.3,5,9,45,15,12,0,0,0,1,1,793,8,4658,8,17.31640678,56.04352797,0.769644068,1,0
1516,52000,406.42,5,9,34,120,210,0,0,0,1,1,6399,100,787,25,18.75403846,35.4969971,0,1,0
1529,6800,1332.33,5,10,43,13,,0,0,1,0,1,4087,0,1262,0,2.280588235,7.617164706,0,1,0
1579,18750,1210.96,5,9,40,7,3,0,0,0,1,1,3411,5,1260,5,18.59914667,57.64509157,0,1,0
1593,600000,188.02,5,9,80,230,75,0,0,0,1,1,879,5,1873,5,16.58020333,55.2202736,0,1,0
1596,148000,242.54,5,9,80,186,45,0,0,0,1,1,2706,100,1092,15,25.86536486,82.28671627,0,1,0
1621,65000,190.78,5,10,46,35,11,0,0,1,0,1,1753,25,2940,30,21.10490769,59.67376543,0,1,0
1634,20000,3187.23,5,10,40,8,,0,0,1,0,1,3261,0,1831,0,3.5026,11.698684,0,1,0
1673,5000,2739.65,5,9,113,6,6,1,0,0,1,1,6623,40,617,35,80.8264,139.9828468,0,1,0.2
1675,61000,167.29,5,10,40,10,10,0,0,1,0,1,6497,5,613,6,9.719065574,23.43552885,0,1,0
1730,9600,3110.9,5,10,50,0,,2,0,1,0,1,8386,20,651,0,22.589375,68.71626875,0,1,0.208333333
1737,68000,242.54,5,9,86,73,40,0,0,0,1,1,2516,100,1717,15,34.27180882,78.27998524,0,1,0
1783,24000,734.43,5,9,50,8,10,0,0,0,1,1,2896,17,1343,17,8.591125,23.24714492,0,1,0
1802,210000,80.53,5,10,55,120,97,0,0,1,0,1,4000,100,1519,100,34.42275714,75.08767605,0,1,0
1815,75000,145.23,5,10,40,2,,0,0,1,0,1,3644,1,1937,1,1.425266667,4.760390667,0,1,0
1855,315000,51.21,5,9,50,20,5,0,0,0,1,1,1356,3,1313,3,7.077514286,20.15206,0,1,0
1857,35000,1971.47,5,9,54,24,5,0,0,0,1,1,4604,100,2001,33,213.6140571,301.1411657,0,1,0
1859,245000,129.4,5,9,113,29,20,0,0,0,1,1,758,1,4841,1,9.233801702,30.6360249,0.087928233,1,0
1879,36000,369.79,5,9,50,5,7,0,0,0,1,1,2812,90,2112,20,31.97638889,54.02962011,0,1,0
1884,20000,869.22,5,9,45,2,4,0,0,0,1,1,7154,100,472,50,88.15475,104.2644785,0,1,0
1902,15000,652.3,5,9,50,8,5,0,0,0,1,1,822,10,4479,10,5.892695103,18.01014872,0.717361769,1,0
1974,120000,221.64,5,9,50,6,1,0,0,0,1,1,6975,10,710,10,4.046733333,9.577919158,0,1,0
2048,38000,406.52,5,10,50,13,13,0,0,1,0,1,1358,13,2950,13,7.813473684,26.09700211,0,1,0
2068,13500,1433.2,5,9,60,25,6,0,0,0,1,1,5554,100,889,100,62.51674074,88.48286222,0,1,0
2089,20000,808.04,5,9,168,0,8,0,0,0,1,1,2702,100,1380,15,46.5233,115.1156337,0,1,0
2114,440000,69.44,5,9,168,25,8,3,0,0,1,1,3050,30,2077,30,7.271513636,24.059046,0,1,0.006818182
2142,425000,171.88,5,9,125,85,25,0,0,0,1,1,4683,100,1100,15,34.17624941,86.29366219,0,1,0
2155,104000,377.5,5,10,60,95,12,2,0,1,0,1,255,0,4400,10,4.217734871,8.904293498,0.10346564,1,0.019230769
